DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL,D1
2007.07.26,21:00,1491,1496.25,1457,1457.5,23290,0
2007.07.29,21:00,1459.5,1484.5,1455,1481.5,16019,24
2007.07.30,21:00,1481.25,1495.5,1456.25,1461.25,14854,-20.25
2007.07.31,21:00,1461,1474.75,1442.25,1474,26380,12.75
2007.08.01,21:00,1473.75,1482.75,1464.5,1479.75,14405,5.75
2007.08.02,21:00,1480.5,1484,1436.25,1443.75,16196,-36
2007.08.05,21:00,1439,1473.25,1432.25,1468.75,17272,25
2007.08.06,21:00,1468.5,1494.25,1460.5,1484.5,15706,15.75
2007.08.07,21:00,1484.25,1510.25,1482,1502.75,15236,18.25
2007.08.08,21:00,1502.5,1504.25,1456,1458.25,25158,-44.5
2007.08.09,21:00,1458,1468.25,1433,1450.75,29973,-7.5
2007.08.12,21:00,1453.75,1472.25,1452.25,1454,14198,3.25
2007.08.13,21:00,1453.75,1462.5,1430,1433.75,16144,-20.25
2007.08.14,21:00,1433.5,1446.75,1408.75,1412.5,21647,-21.25
2007.08.15,21:00,1412,1431.5,1374.25,1428.5,35244,16
2007.08.16,21:00,1428,1471,1399.25,1449.75,31825,21.25
2007.08.19,21:00,1448.5,1456.75,1434.5,1446.75,17796,-3
2007.08.20,21:00,1447,1459.75,1440.25,1449,18037,2.25
2007.08.21,21:00,1449.25,1469.5,1449,1469,12400,20
2007.08.22,21:00,1470.25,1483.75,1457,1465.25,13395,-3.75
2007.08.23,21:00,1465,1483.75,1459.75,1483.75,10056,18.5
2007.08.26,21:00,1483,1483,1468,1469.5,7532,-14.25
2007.08.27,21:00,1469.75,1470,1434.5,1437,10702,-32.5
2007.08.28,21:00,1436.75,1467.25,1435,1466.75,12024,29.75
2007.08.29,21:00,1467,1471.25,1452.5,1464.25,12438,-2.5
2007.08.30,21:00,1464.5,1484.25,1461.5,1473.75,13789,9.5
2007.09.02,21:00,1475,1477.75,1472.5,1476.5,1007,2.75
2007.09.03,21:00,1475.5,1512.25,1468.5,1500.75,7393,24.25
2007.09.04,21:00,1501,1501.75,1481.25,1487.25,8815,-13.5
2007.09.05,21:00,1487.75,1497.25,1482.25,1492.25,8084,5
2007.09.06,21:00,1492.5,1492.75,1462.5,1471.75,10065,-20.5
2007.09.09,21:00,1470.5,1478,1453.25,1466,9260,-5.75
2007.09.10,21:00,1466.25,1487.25,1465.75,1484.75,8116,18.75
2007.09.11,21:00,1485,1494.25,1478.75,1487.5,6868,2.75
2007.09.12,21:00,1487.25,1504,1484.25,1494.5,8012,7
2007.09.13,21:00,1494.25,1499.75,1485.75,1498,8414,3.5
2007.09.16,21:00,1497.25,1497.25,1485,1490,8039,-8
2007.09.17,21:00,1490.25,1534.25,1485,1533,12414,43
2007.09.18,21:00,1532.5,1551.75,1531.5,1538.25,12496,5.25
2007.09.19,21:00,1538.5,1542,1528.5,1528.75,12491,-9.5
2007.09.20,21:00,1529,1543.75,1529,1534.25,8334,5.5
2007.09.23,21:00,1533.25,1542.5,1528,1529.75,7891,-4.5
2007.09.24,21:00,1529,1531,1518.5,1530,8600,0.25
2007.09.25,21:00,1530.25,1541.5,1529.75,1536.75,8414,6.75
2007.09.26,21:00,1536.5,1544.75,1536,1543.5,8529,6.75
2007.09.27,21:00,1543.25,1545.25,1533,1539.75,8043,-3.75
2007.09.30,21:00,1537.5,1560.75,1535.25,1555,7330,15.25
2007.10.01,21:00,1554.75,1559.75,1551.25,1554.5,7229,-0.5
2007.10.02,21:00,1554.75,1556.25,1546.5,1551.75,6966,-2.75
2007.10.03,21:00,1551.5,1554.5,1548,1552,5250,0.25
2007.10.04,21:00,1551.75,1573.25,1550.5,1570.5,6882,18.5
2007.10.07,21:00,1570.25,1570.25,1559.75,1563.75,3921,-6.75
2007.10.08,21:00,1564.25,1577.25,1560.5,1574.75,4712,11
2007.10.09,21:00,1575,1575.75,1565.25,1572.25,5131,-2.5
2007.10.10,21:00,1572.5,1586.5,1556.25,1563.5,10026,-8.75
2007.10.11,21:00,1563.25,1574.75,1559,1574.75,8053,11.25
2007.10.14,21:00,1574.5,1576,1550,1560.5,7672,-14.25
2007.10.15,21:00,1560.25,1561.75,1545.25,1553.5,9902,-7
2007.10.16,21:00,1553.75,1561.25,1534,1552.5,11463,-1
2007.10.17,21:00,1552.25,1554.75,1540,1549,9989,-3.5
2007.10.18,21:00,1548.5,1548.75,1505,1505.25,14336,-43.75
2007.10.21,21:00,1505.5,1517.5,1492.5,1517.5,14903,12.25
2007.10.22,21:00,1517.25,1527.25,1510.25,1520.5,9857,3
2007.10.23,21:00,1520.25,1526.25,1495.25,1525.25,17156,4.75
2007.10.24,21:00,1525,1529.5,1505.5,1527.25,12680,2
2007.10.25,21:00,1527.5,1543,1521.75,1542,9448,14.75
2007.10.28,21:00,1541.5,1550.75,1540.75,1547,6169,5
2007.10.29,21:00,1547.5,1547.75,1534.75,1535.75,5719,-11.25
2007.10.30,21:00,1535.5,1558.5,1533.75,1553.5,12961,17.75
2007.10.31,21:00,1554,1554.75,1510.5,1512.25,13735,-41.25
2007.11.01,21:00,1512.5,1524.75,1496.75,1517.75,19276,5.5
2007.11.04,21:00,1515.75,1516,1494.25,1507,15549,-10.75
2007.11.05,21:00,1506.75,1525.75,1503.5,1524.25,11139,17.25
2007.11.06,21:00,1523.5,1523.75,1466.75,1469.75,19387,-54.5
2007.11.07,21:00,1472.25,1491,1454,1475.5,27777,5.75
2007.11.08,21:00,1475,1480,1451.75,1454.5,22766,-21
2007.11.11,21:00,1453.75,1469,1437.25,1438,20685,-16.5
2007.11.12,21:00,1438.25,1486,1437.75,1481,13027,43
2007.11.13,21:00,1480.75,1496.5,1470,1478.5,14058,-2.5
2007.11.14,21:00,1478.25,1481.75,1446.75,1457.25,18091,-21.25
2007.11.15,21:00,1457,1466.5,1447.5,1460,16336,2.75
2007.11.18,21:00,1460.5,1465.5,1433.25,1437.75,15665,-22.25
2007.11.19,21:00,1438.5,1456.25,1422,1445,20352,7.25
2007.11.20,21:00,1445.25,1445.75,1417,1418.75,19449,-26.25
2007.11.21,21:00,1418.25,1426.75,1417.75,1425.75,3171,7
2007.11.22,21:00,1425.5,1443.75,1422,1441.75,7498,16
2007.11.25,21:00,1442,1454,1406.75,1409,14297,-32.75
2007.11.26,21:00,1409.25,1432.5,1406.25,1425.25,19673,16.25
2007.11.27,21:00,1425,1474.75,1420.5,1468.75,12742,43.5
2007.11.28,21:00,1469,1476.75,1460.75,1470.5,14342,1.75
2007.11.29,21:00,1470,1492,1468.5,1486.25,16087,15.75
2007.12.02,21:00,1483.75,1486.25,1472,1474.5,14433,-11.75
2007.12.03,21:00,1474.75,1475.5,1462.25,1464.25,10567,-10.25
2007.12.04,21:00,1464.5,1492.25,1463,1492,10729,27.75
2007.12.05,21:00,1491.75,1510.5,1482,1506.75,10953,14.75
2007.12.06,21:00,1507,1515,1500.75,1506.5,10017,-0.25
2007.12.09,21:00,1506.25,1521,1501,1520.75,7953,14.25
2007.12.10,21:00,1520.5,1526.75,1474.75,1475.5,15774,-45.25
2007.12.11,21:00,1477.25,1516.75,1468.75,1491.5,19249,16
2007.12.12,21:00,1490.75,1501.25,1470.75,1497.5,18426,6
2007.12.13,21:00,1497.25,1505,1477.75,1477.75,12077,-19.75
2007.12.16,21:00,1477.5,1477.5,1455,1457,12863,-20.75
2007.12.17,21:00,1458.25,1471.75,1445.75,1468,15737,11
2007.12.18,21:00,1467.75,1475.25,1455.75,1464.25,16223,-3.75
2007.12.19,21:00,1464.5,1474.75,1457.5,1473,12124,8.75
2007.12.20,21:00,1473.5,1498.75,1473,1497.75,9938,24.75
2007.12.23,21:00,1496.75,1509.5,1495,1507.25,3677,9.5
2007.12.25,21:00,1506.25,1510.75,1499,1509.5,4429,2.25
2007.12.26,21:00,1510,1510.75,1485,1490.5,8952,-19
2007.12.27,21:00,1490.25,1502.75,1481,1485.25,6285,-5.25
2007.12.30,21:00,1485,1488.75,1473.5,1477.5,3716,-7.75
2008.01.01,21:00,1478.5,1482.75,1449,1460.25,10592,-17.25
2008.01.02,21:00,1460,1464.5,1451,1458.25,11960,-2
2008.01.03,21:00,1458,1463.25,1417.5,1422.25,14338,-36
2008.01.06,21:00,1422.75,1432,1410,1420,16153,-2.25
2008.01.07,21:00,1420.25,1437.5,1393,1397.75,17547,-22.25
2008.01.08,21:00,1397.5,1416.25,1385,1415.5,22518,17.75
